month,provincia,band,eur_kWh,lat,lon,operator,power_kW
2025-05,Lugo,DC,0.5,43.43626376751865,-7.987099363861802,,60.0
2025-05,Lugo,AC,0.39,43.30800329724221,-7.979800409567986,,7.4
2025-05,Lugo,DC,0.54,43.178472450532865,-7.828550174045176,,60.0
2025-05,Lugo,AC,0.32,43.18225815603623,-7.8948398655659275,,22.0
2025-05,Lugo,DC,0.6,43.18838714550017,-7.92797307172242,,150.0
2025-05,Lugo,AC,0.6,43.18838714550017,-7.92797307172242,,22.0
2025-05,Lugo,DC,0.6,43.18731202954558,-7.9280678709072845,,150.0
2025-05,Lugo,AC,0.6,43.18731202954558,-7.9280678709072845,,22.0
2025-05,Lugo,DC,0.47,43.02971393091576,-7.786886858743912,,50.0
2025-05,Lugo,DC,0.47,43.02971393091576,-7.786886858743912,,50.0
2025-05,Lugo,DC,0.47,43.02971393091576,-7.786886858743912,,43.0
2025-05,Lugo,DC,0.5,42.89848249169563,-7.987853731065002,,150.0
2025-05,Lugo,DC,0.5,43.18122231938341,-7.968077389944824,,100.0
2025-05,Lugo,DC,0.5,43.18122231938341,-7.968077389944824,,50.0
2025-05,Lugo,AC,0.5,43.18122231938341,-7.968077389944824,,22.0
2025-05,Lugo,DC,0.54,42.89570787418444,-7.977087917066569,,100.0
2025-05,Lugo,DC,0.54,42.87605717447974,-7.861722542229131,,100.0
2025-05,Lugo,DC,0.54,42.792447318200715,-7.837873044958911,,180.0
2025-05,Lugo,AC,0.39,42.79226620046947,-7.832496474266691,,22.0
2025-05,Lugo,DC,0.47,42.54140325549375,-7.812333941270708,,50.0
2025-05,Lugo,DC,0.47,42.54140325549375,-7.812333941270708,,50.0
2025-05,Lugo,DC,0.47,42.54140325549375,-7.812333941270708,,43.0
2025-05,Lugo,DC,0.47,42.344215851108515,-7.9818789577304585,,50.0
2025-05,Lugo,DC,0.47,42.344215851108515,-7.9818789577304585,,50.0
2025-05,Lugo,DC,0.47,42.344215851108515,-7.9818789577304585,,43.0
2025-05,Lugo,DC,0.3,42.326331139528605,-7.877725600109557,,60.0
2025-05,Lugo,DC,0.5,42.35537094823644,-7.8834429869256155,,100.0
2025-05,Lugo,DC,0.47,42.35115981086955,-7.895064097996084,,50.0
2025-05,Lugo,DC,0.47,42.35115981086955,-7.895064097996084,,43.0
2025-05,Lugo,DC,0.47,42.35115981086955,-7.895064097996084,,50.0
2025-05,Lugo,DC,0.39,42.35508696800619,-7.906363516509288,,50.0
