month,provincia,band,median_eur_kWh,mean_eur_kWh,n
2025-07,A Coruña,AC,0.4,0.4117037037037037,135
2025-07,A Coruña,DC,0.47,0.476518771331058,293
2025-07,Alacant,AC,0.39,0.3707428571428571,350
2025-07,Alacant,DC,0.47,0.47211191335740077,554
2025-07,Albacete,AC,0.4,0.4074038461538461,104
2025-07,Albacete,DC,0.47,0.4787323943661972,284
2025-07,Almería,AC,0.35,0.3508045977011494,87
2025-07,Almería,DC,0.47,0.47617224880382775,209
2025-07,Asturias,AC,0.4,0.4013937282229965,287
2025-07,Asturias,DC,0.48,0.48860544217687074,294
2025-07,Badajoz,AC,0.38,0.373203125,128
2025-07,Badajoz,DC,0.47,0.4804,250
2025-07,Barcelona,AC,0.39,0.3767543859649123,684
2025-07,Barcelona,DC,0.47,0.4645170731707317,1025
2025-07,Bizkaia,AC,0.35,0.3542,150
2025-07,Bizkaia,DC,0.47,0.48341484716157207,229
2025-07,Burgos,AC,0.35,0.3702816901408451,213
2025-07,Burgos,DC,0.48,0.4948293963254593,381
2025-07,Cantabria,AC,0.34,0.353542600896861,223
2025-07,Cantabria,DC,0.48,0.49171122994652405,187
2025-07,Castellón,AC,0.39,0.36816793893129773,131
2025-07,Castellón,DC,0.47,0.48486111111111113,216
2025-07,Ceuta,AC,0.25,0.25,1
2025-07,Ciudad Real,AC,0.4,0.41674418604651164,86
2025-07,Ciudad Real,DC,0.47,0.48824324324324325,222
2025-07,Cuenca,AC,0.4,0.43061538461538457,65
2025-07,Cuenca,DC,0.47,0.4950898203592814,167
2025-07,Cáceres,AC,0.4,0.389448275862069,145
2025-07,Cáceres,DC,0.46499999999999997,0.4835849056603773,212
2025-07,Cádiz,AC,0.4,0.39148148648648645,148
2025-07,Cádiz,DC,0.47,0.48178082191780824,292
2025-07,Córdoba,AC,0.39,0.3810434782608696,115
2025-07,Córdoba,DC,0.47,0.4801818181818182,220
2025-07,Gipuzkoa,AC,0.375,0.37133333333333335,90
2025-07,Gipuzkoa,DC,0.47,0.48503267973856207,153
2025-07,Girona,AC,0.4,0.41477508650519035,289
