month,provincia,AC,DC
2025-01,A Coruña,0.4117037037037037,0.476518771331058
2025-01,Alacant,0.3707428571428571,0.4721119133574007
2025-01,Albacete,0.4074038461538461,0.4787323943661972
2025-01,Almería,0.3508045977011494,0.4761722488038277
2025-01,Asturias,0.4013937282229965,0.4886054421768707
2025-01,Badajoz,0.373203125,0.4804
2025-01,Barcelona,0.3767543859649123,0.4645170731707317
2025-01,Bizkaia,0.3542,0.483414847161572
2025-01,Burgos,0.3702816901408451,0.4948293963254593
2025-01,Cantabria,0.353542600896861,0.491711229946524
2025-01,Castellón,0.3681679389312977,0.4848611111111111
2025-01,Ceuta,0.25,
2025-01,Ciudad Real,0.4167441860465116,0.4882432432432432
2025-01,Cuenca,0.4306153846153845,0.4950898203592814
2025-01,Cáceres,0.389448275862069,0.4835849056603773
2025-01,Cádiz,0.3914814864864864,0.4817808219178082
2025-01,Córdoba,0.3810434782608696,0.4801818181818182
2025-01,Gipuzkoa,0.3713333333333333,0.485032679738562
2025-01,Girona,0.4147750865051903,0.4825272331154684
2025-01,Granada,0.3764732142857143,0.4836879432624113
2025-01,Guadalajara,0.4105263157894737,0.4840727272727272
2025-01,Huelva,0.3709345794392523,0.4898347107438017
2025-01,Huesca,0.3842156862745098,0.4879127725856698
2025-01,Illes Balears,0.3848387096774193,0.4876960784313725
2025-01,Jaén,0.3961111111111111,0.497958115183246
2025-01,La Rioja,0.3892537313432836,0.4946616541353384
2025-01,Las Palmas,0.3484269662921349,0.4720858895705521
2025-01,León,0.3585849056603773,0.4870344827586207
2025-01,Lleida,0.4127918781725888,0.4796526054590571
2025-01,Lugo,0.4185483870967741,0.4832085561497326
2025-01,Madrid,0.3904431914893617,0.4830125523012552
2025-01,Murcia,0.3858359621451104,0.4635436893203884
2025-01,Málaga,0.3625909090909091,0.4783152173913044
2025-01,Navarra,0.3851754385964913,0.4873415132924335
2025-01,Ourense,0.3935897435897436,0.4656730769230769
2025-01,Palencia,0.3571739130434782,0.4745833333333333
2025-01,Pontevedra,0.3997849462365591,0.463015873015873
2025-01,Salamanca,0.3481707317073171,0.4850724637681159
2025-01,Santa Cruz de Tenerife,0.389468085106383,0.4970992366412214
2025-01,Segovia,0.3856320754716981,0.4994554455445544
2025-01,Sevilla,0.3925587467362924,0.4886220472440944
2025-01,Soria,0.3574,0.48
2025-01,Tarragona,0.3815584415584415,0.4782568807339449
2025-01,Territorio no asociado a ninguna provincia,0.25,
2025-01,Teruel,0.3641605839416058,0.478590308370044
2025-01,Toledo,0.4004651162790697,0.4856009070294784
2025-01,Valencia,0.3636526946107784,0.4705511515151515
2025-01,Valladolid,0.3509090909090909,0.4860828025477707
2025-01,Zamora,0.3346031746031745,0.4941489361702127
2025-01,Zaragoza,0.3838775510204081,0.4883177570093458
2025-01,Álava,0.3695833333333333,0.4931506849315068
2025-01,Ávila,0.3667032967032966,0.4984343434343434
2025-02,A Coruña,0.4117037037037037,0.476518771331058
2025-02,Alacant,0.3707428571428571,0.4721119133574007
2025-02,Albacete,0.4074038461538461,0.4787323943661972
2025-02,Almería,0.3508045977011494,0.4761722488038277
2025-02,Asturias,0.4013937282229965,0.4886054421768707
