month_str,ccaa,band,eur_kWh
2025-07,Castilla-La Mancha,AC,0.3889603067876831
2025-07,Castilla-La Mancha,DC,0.4790666829250551
2025-08,Castilla-La Mancha,AC,0.3778877141127053
2025-08,Castilla-La Mancha,DC,0.4654290182286484
2025-09,Castilla-La Mancha,AC,0.3954902973395931
2025-09,Castilla-La Mancha,DC,0.4871094082588335
2025-01,Cataluña,AC,0.4424086642496916
2025-01,Cataluña,DC,0.5436300698414133
2025-02,Cataluña,AC,0.4648196097182502
2025-02,Cataluña,DC,0.5711685536795337
2025-03,Cataluña,AC,0.3411443921325014
2025-03,Cataluña,DC,0.4191969206469434
2025-04,Cataluña,AC,0.2999193196039185
2025-04,Cataluña,DC,0.36853970963608
2025-05,Cataluña,AC,0.3126465232033468
2025-05,Cataluña,DC,0.3841788486058768
2025-06,Cataluña,AC,0.37047229607901
2025-06,Cataluña,DC,0.4552349365338664
2025-07,Cataluña,AC,0.3790493245916683
2025-07,Cataluña,DC,0.4657743562743816
2025-08,Cataluña,AC,0.368258869366066
2025-08,Cataluña,DC,0.4525150862782495
2025-09,Cataluña,AC,0.3854129263913824
2025-09,Cataluña,DC,0.47359392575928
2025-01,Ceuta,AC,0.2869705671213208
2025-01,Ceuta,DC,
2025-02,Ceuta,AC,0.3015075376884422
2025-02,Ceuta,DC,
2025-03,Ceuta,AC,0.2212849964106245
2025-03,Ceuta,DC,
2025-04,Ceuta,AC,0.1945441493180186
2025-04,Ceuta,DC,
2025-05,Ceuta,AC,0.2027997128499641
2025-05,Ceuta,DC,
2025-06,Ceuta,AC,0.2403086862885857
2025-06,Ceuta,DC,
2025-07,Ceuta,AC,0.2458722182340272
2025-07,Ceuta,DC,
2025-08,Ceuta,AC,0.238872936109117
2025-08,Ceuta,DC,
2025-09,Ceuta,AC,0.25
2025-09,Ceuta,DC,
2025-01,Comunidad Valenciana,AC,0.4189279731993298
2025-01,Comunidad Valenciana,DC,0.5414360896481396
2025-02,Comunidad Valenciana,AC,0.4401494652750933
2025-02,Comunidad Valenciana,DC,0.5688634337766572
2025-03,Comunidad Valenciana,AC,0.3230382682643988
2025-03,Comunidad Valenciana,DC,0.4175051272896536
2025-04,Comunidad Valenciana,AC,0.2840012025941673
2025-04,Comunidad Valenciana,DC,0.3670523584606525
2025-05,Comunidad Valenciana,AC,0.2960529141433663
2025-05,Comunidad Valenciana,DC,0.3826283810521562
2025-06,Comunidad Valenciana,AC,0.3508096035734225
2025-06,Comunidad Valenciana,DC,0.4533977010874665
2025-07,Comunidad Valenciana,AC,0.3589314091826653
2025-07,Comunidad Valenciana,DC,0.4638945858773929
2025-08,Comunidad Valenciana,AC,0.3487136537387793
2025-08,Comunidad Valenciana,DC,0.450688827593292
2025-09,Comunidad Valenciana,AC,0.3649572649572649
2025-09,Comunidad Valenciana,DC,0.4716825971731448
2025-01,Comunidad de Madrid,AC,0.4484140272792533
2025-01,Comunidad de Madrid,DC,0.5539133691388457
2025-02,Comunidad de Madrid,AC,0.4711291843834557
2025-02,Comunidad de Madrid,DC,0.5819727705773989
2025-03,Comunidad de Madrid,AC,0.3457751692528576
2025-03,Comunidad de Madrid,DC,0.4271264441201981
2025-04,Comunidad de Madrid,AC,0.3039904975426582
2025-04,Comunidad de Madrid,DC,0.3755110019677978
2025-05,Comunidad de Madrid,AC,0.3168904633055386
2025-05,Comunidad de Madrid,DC,0.3914459706859885
2025-06,Comunidad de Madrid,AC,0.375501177315147
2025-06,Comunidad de Madrid,DC,0.4638461546447244
2025-07,Comunidad de Madrid,AC,0.3841946325031751
2025-07,Comunidad de Madrid,DC,0.4745849379113313
2025-08,Comunidad de Madrid,AC,0.3732577050085592
2025-08,Comunidad de Madrid,DC,0.4610748557372131
2025-09,Comunidad de Madrid,AC,0.3906446153846153
2025-09,Comunidad de Madrid,DC,0.4825524222704266
2025-01,Extremadura,AC,0.4390471434367934
2025-01,Extremadura,DC,0.5580015295429046
2025-02,Extremadura,AC,0.4612878054870626
2025-02,Extremadura,DC,0.5862680235347592
2025-03,Extremadura,AC,0.3385523000985405
2025-03,Extremadura,DC,0.4302788529871179
2025-04,Extremadura,AC,0.2976404649690332
2025-04,Extremadura,DC,0.3782824628045707
